127.0.0.1, 2019-08-23 11:53:20, POST, /Shots_Manager/appadmin/select/db, HTTP/1.1, 200, 0.424000
127.0.0.1, 2019-08-23 11:53:46, GET, /Shots_Manager/appadmin/insert/db/shots, HTTP/1.1, 200, 0.185000
127.0.0.1, 2019-08-23 11:54:19, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.075000
127.0.0.1, 2019-08-23 11:54:19, GET, /Shots_Manager/appadmin/hooks, HTTP/1.1, 200, 0.305000
127.0.0.1, 2019-08-23 11:55:05, POST, /Shots_Manager/appadmin/insert/db/shots, HTTP/1.1, 200, 0.314000
127.0.0.1, 2019-08-23 11:55:11, GET, /admin/default/design/Shots_Manager, HTTP/1.1, 200, 0.449000
127.0.0.1, 2019-08-23 11:55:12, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2019-08-23 11:55:19, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.094000
127.0.0.1, 2019-08-23 11:55:19, GET, /Shots_Manager/appadmin/hooks, HTTP/1.1, 200, 0.319000
127.0.0.1, 2019-08-23 11:55:29, POST, /admin/default/edit/Shots_Manager/models/db.py, HTTP/1.1, 200, 0.051000
127.0.0.1, 2019-08-23 11:55:33, GET, /Shots_Manager/appadmin/index, HTTP/1.1, 200, 0.307000
127.0.0.1, 2019-08-23 11:55:33, GET, /Shots_Manager/appadmin/hooks, HTTP/1.1, 200, 0.207000
127.0.0.1, 2019-08-23 11:55:35, GET, /Shots_Manager/appadmin/select/db, HTTP/1.1, 200, 0.170000
127.0.0.1, 2019-08-23 11:55:42, GET, /Shots_Manager/appadmin/insert/db/shots, HTTP/1.1, 200, 0.168000
127.0.0.1, 2019-08-23 11:56:19, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.179000
127.0.0.1, 2019-08-23 11:56:19, GET, /Shots_Manager/appadmin/hooks, HTTP/1.1, 200, 0.345000
127.0.0.1, 2019-08-23 11:57:19, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.084000
127.0.0.1, 2019-08-23 11:57:19, GET, /Shots_Manager/appadmin/hooks, HTTP/1.1, 200, 0.279000
